OBJECTID,pointid,Elevation,FlowDirect,POINT_X,POINT_Y
122,122,150.125885,2,287639.44,4783274.029
123,123,150.1193542,4,287640.44,4783274.029
124,124,150.147522,8,287641.44,4783274.029
125,125,150.1424103,128,287642.44,4783274.029
126,126,150.1016846,2,287643.44,4783274.029
127,127,150.4152374,4,287644.44,4783274.029
128,128,150.7362976,4,287645.44,4783274.029
129,129,150.149353,4,287646.44,4783274.029
130,130,150.0104828,8,287647.44,4783274.029
131,131,150.0373688,16,287648.44,4783274.029
132,132,150.0551758,16,287649.44,4783274.029
133,133,150.0841827,16,287650.44,4783274.029
134,134,150.0633087,1,287651.44,4783274.029
135,135,150.0493164,128,287652.44,4783274.029
136,136,150.036087,128,287653.44,4783274.029
137,137,150.0197144,1,287654.44,4783274.029
138,138,150.0002594,128,287655.44,4783274.029
139,139,149.9750061,128,287656.44,4783274.029
140,140,149.9662933,64,287657.44,4783274.029
141,141,150.0078888,64,287658.44,4783274.029
142,142,150.0183563,64,287659.44,4783274.029
143,143,150.0735016,32,287660.44,4783274.029
144,144,150.1252136,32,287661.44,4783274.029
145,145,150.1316071,32,287662.44,4783274.029
146,146,150.1207428,64,287663.44,4783274.029
147,147,150.111557,32,287664.44,4783274.029
148,148,150.454895,1,287665.44,4783274.029
149,149,150.0929718,128,287666.44,4783274.029
150,150,150.4098663,64,287667.44,4783274.029
151,151,150.4458466,1,287668.44,4783274.029
152,152,150.053299,1,287669.44,4783274.029
153,153,150.0406647,64,287670.44,4783274.029
154,154,150.0822906,1,287614.44,4783273.029
155,155,150.0580902,4,287615.44,4783273.029
156,156,150.0714722,1,287616.44,4783273.029
157,157,150.0083008,1,287617.44,4783273.029
158,158,149.9624634,64,287618.44,4783273.029
159,159,149.9987183,16,287619.44,4783273.029
160,160,150.0551758,16,287620.44,4783273.029
161,161,150.0731964,16,287621.44,4783273.029
162,162,150.0851898,128,287622.44,4783273.029
163,163,150.0651093,1,287623.44,4783273.029
164,164,150.0267334,1,287624.44,4783273.029
165,165,150.0155792,1,287625.44,4783273.029
166,166,149.9543762,1,287626.44,4783273.029
167,167,149.9656219,16,287627.44,4783273.029
168,168,149.9955597,16,287628.44,4783273.029
169,169,150.0087585,8,287629.44,4783273.029
170,170,150.0393219,16,287630.44,4783273.029
171,171,150.0916748,16,287631.44,4783273.029
172,172,150.1113281,16,287632.44,4783273.029
173,173,150.1511841,16,287633.44,4783273.029
174,174,150.1684875,8,287634.44,4783273.029
175,175,150.1928558,8,287635.44,4783273.029
176,176,150.1846466,2,287636.44,4783273.029
177,177,150.1738434,2,287637.44,4783273.029
178,178,150.1486664,4,287638.44,4783273.029
179,179,150.1255188,4,287639.44,4783273.029
180,180,150.1018829,8,287640.44,4783273.029
181,181,150.1595306,16,287641.44,4783273.029
182,182,150.1415558,128,287642.44,4783273.029
183,183,150.1304169,1,287643.44,4783273.029
184,184,149.9434357,4,287644.44,4783273.029
185,185,149.9612122,16,287645.44,4783273.029
186,186,149.9885712,16,287646.44,4783273.029
187,187,150.0025635,16,287647.44,4783273.029
188,188,150.0321808,16,287648.44,4783273.029
189,189,150.053772,16,287649.44,4783273.029
190,190,150.0704041,8,287650.44,4783273.029
191,191,150.0650787,128,287651.44,4783273.029
192,192,150.0587006,1,287652.44,4783273.029
193,193,150.037323,1,287653.44,4783273.029
194,194,150.0217896,1,287654.44,4783273.029
195,195,149.9989166,1,287655.44,4783273.029
196,196,149.9781342,128,287656.44,4783273.029
197,197,149.9771423,64,287657.44,4783273.029
198,198,150.1243591,16,287658.44,4783273.029
199,199,150.1107025,64,287659.44,4783273.029
200,200,153.025528,64,287660.44,4783273.029
201,201,156.4526215,64,287661.44,4783273.029
202,202,155.6462555,64,287662.44,4783273.029
203,203,155.8440247,64,287663.44,4783273.029
204,204,155.5958405,64,287664.44,4783273.029
205,205,155.6288147,64,287665.44,4783273.029
206,206,155.5048981,64,287666.44,4783273.029
207,207,155.1322021,64,287667.44,4783273.029
208,208,155.1386261,64,287668.44,4783273.029
209,209,154.5803833,64,287669.44,4783273.029
210,210,156.3708801,64,287670.44,4783273.029
211,211,154.3156738,32,287671.44,4783273.029
212,212,150.0610046,4,287614.44,4783272.029
213,213,150.0515594,8,287615.44,4783272.029
214,214,150.0610352,1,287616.44,4783272.029
215,215,150.0126495,1,287617.44,4783272.029
216,216,149.9750061,64,287618.44,4783272.029
217,217,150.0074158,16,287619.44,4783272.029
218,218,150.0561218,16,287620.44,4783272.029
219,219,150.0808411,8,287621.44,4783272.029
220,220,150.0905304,128,287622.44,4783272.029
221,221,150.089859,128,287623.44,4783272.029
222,222,150.0943298,64,287624.44,4783272.029
223,223,150.0555115,128,287625.44,4783272.029
224,224,150.0148621,64,287626.44,4783272.029
225,225,149.9882355,64,287627.44,4783272.029
226,226,149.9862061,32,287628.44,4783272.029
227,227,150.0240784,16,287629.44,4783272.029
228,228,150.0719757,16,287630.44,4783272.029
229,229,150.0852966,32,287631.44,4783272.029
230,230,150.1083832,16,287632.44,4783272.029
231,231,150.1235199,16,287633.44,4783272.029
232,232,150.1416779,16,287634.44,4783272.029
233,233,150.1929016,2,287635.44,4783272.029
234,234,150.2001343,2,287636.44,4783272.029
235,235,150.1423035,4,287637.44,4783272.029
236,236,150.1010895,2,287638.44,4783272.029
237,237,150.0831451,4,287639.44,4783272.029
238,238,150.1042023,8,287640.44,4783272.029
239,239,150.16539,8,287641.44,4783272.029
240,240,150.1498413,128,287642.44,4783272.029
241,241,150.1392517,1,287643.44,4783272.029
242,242,149.951004,64,287644.44,4783272.029
243,243,149.9584961,16,287645.44,4783272.029
244,244,149.9876556,16,287646.44,4783272.029
245,245,150.0045166,16,287647.44,4783272.029
246,246,150.0268707,16,287648.44,4783272.029
247,247,150.046402,16,287649.44,4783272.029
248,248,150.0727234,16,287650.44,4783272.029
249,249,150.0686646,1,287651.44,4783272.029
250,250,150.0561371,1,287652.44,4783272.029
251,251,150.0359344,1,287653.44,4783272.029
252,252,150.0210266,128,287654.44,4783272.029
253,253,150.0076752,1,287655.44,4783272.029
254,254,149.9833832,64,287656.44,4783272.029
255,255,150.0149994,64,287657.44,4783272.029
256,256,150.1497345,16,287658.44,4783272.029
257,257,150.1681519,64,287659.44,4783272.029
258,258,153.1450348,16,287660.44,4783272.029
259,259,159.551239,16,287661.44,4783272.029
260,260,159.4326019,64,287662.44,4783272.029
261,261,159.3603058,64,287663.44,4783272.029
262,262,159.3211823,64,287664.44,4783272.029
263,263,158.8757477,64,287665.44,4783272.029
264,264,159.3466034,64,287666.44,4783272.029
265,265,159.1960144,64,287667.44,4783272.029
266,266,159.148056,64,287668.44,4783272.029
267,267,159.0531921,64,287669.44,4783272.029
268,268,158.971283,128,287670.44,4783272.029
269,269,158.8511047,64,287671.44,4783272.029
270,270,150.0569916,2,287614.44,4783271.029
271,271,150.0643158,4,287615.44,4783271.029
272,272,150.0686646,2,287616.44,4783271.029
273,273,150.0280457,128,287617.44,4783271.029
274,274,150.0090942,64,287618.44,4783271.029
275,275,150.0295715,32,287619.44,4783271.029
276,276,150.0448914,32,287620.44,4783271.029
277,277,150.0740662,8,287621.44,4783271.029
278,278,150.0848083,16,287622.44,4783271.029
279,279,150.0865631,2,287623.44,4783271.029
280,280,150.0947113,4,287624.44,4783271.029
281,281,150.0824432,1,287625.44,4783271.029
282,282,150.0207214,1,287626.44,4783271.029
283,283,149.9746399,128,287627.44,4783271.029
284,284,150.0171509,16,287628.44,4783271.029
285,285,150.0364532,32,287629.44,4783271.029
286,286,150.0920105,16,287630.44,4783271.029
287,287,150.1187897,64,287631.44,4783271.029
288,288,150.1300507,32,287632.44,4783271.029
289,289,150.1343079,4,287633.44,4783271.029
290,290,150.1347809,2,287634.44,4783271.029
291,291,150.1574249,4,287635.44,4783271.029
292,292,150.1047363,1,287636.44,4783271.029
293,293,150.0449524,1,287637.44,4783271.029
294,294,150.0462341,1,287638.44,4783271.029
295,295,150.0088959,4,287639.44,4783271.029
296,296,150.0728149,16,287640.44,4783271.029
297,297,150.1772919,16,287641.44,4783271.029
